planning_area,total_households,avg_household_income,no_working_person,working_households,data_year
Ang Mo Kio,60218,12778.211107537258,11455,48763,2020
Bedok,97553,14517.002518891688,16818,80735,2020
Bishan,29444,16524.054316197868,4412,25032,2020
Bukit Batok,54298,12138.382311253898,5983,48315,2020
Bukit Merah,59701,14290.13586878465,12444,47257,2020
Bukit Panjang,43579,12097.10927846901,4389,39190,2020
Bukit Timah,24612,22319.22281323877,3846,20766,2020
Clementi,33609,15284.063063479587,5990,27619,2020
Downtown Core,1546,19498.745819397995,175,1371,2020
Geylang,42061,12424.739128886356,6991,35070,2020
Hougang,75111,12217.102658979435,8503,66608,2020
Jurong East,27214,12100.256657042028,4256,22958,2020
Jurong West,83877,11101.736075229926,8069,75808,2020
Kallang,40834,14226.270443925234,8433,32401,2020
Marine Parade,17070,19374.27252659041,3552,13518,2020
Novena,18283,16820.09215857631,2848,15435,2020
Outram,8053,15215.484311050477,2194,5859,2020
Pasir Ris,44799,13896.423318625484,3702,41097,2020
Punggol,56166,11669.482119582926,3531,52635,2020
Queenstown,37054,15504.464700958051,7776,29278,2020
River Valley,3977,22022.622834924,574,3403,2020
Sembawang,33051,11142.628263152177,2716,30335,2020
Sengkang,79375,11875.467834969839,5621,73754,2020
Serangoon,38086,15704.744990892532,5318,32768,2020
Tampines,83682,12408.293231915553,9631,74051,2020
Tanglin,7937,23304.921152800434,1210,6727,2020
Toa Payoh,46880,14496.45251396648,10015,36865,2020
Woodlands,78842,10417.442238602576,7133,71709,2020
Yishun,75402,10609.53177257525,8698,66704,2020
